t x y v psi beta j tsolve niter
0.0 0 0 10 0 1.0 242.97750113877493 0.28125 6.0
0.1 0.9999999999999489 -3.1988866123881e-07 10.1 0.0 0.9999999999999925 238.91750110508016 0.28125 6.0
0.2 2.0099999999848555 -5.841588157005391e-06 10.2 0.0 0.9999999999999977 234.8175010883085 0.265625 6.0
0.30000000000000004 3.029999997855067 -7.175644356969566e-05 10.299999999999999 0.0 0.9999999999999919 230.6775010193633 0.203125 9.0
0.4 4.059999997391682 -0.00010265261709366033 10.399999999999999 0.0 0.9999999999999937 226.4975009576075 0.203125 7.0
0.5 5.099999997216156 -8.354524034555917e-05 10.499999999999998 0.0 1.0 222.49260596696905 0.265625 12.0
0.6000000000000001 6.142173257814693 0.12788088299427955 10.599999999999998 0.0 1.0 218.58437052074882 0.375 13.0
0.7000000000000001 7.162193714962509 0.41625263438466664 10.699999999999998 0.0 0.9999999999999853 214.72668168831484 0.296875 10.0
0.8 8.125646774474218 0.8817182100371823 10.799999999999995 0.0 1.0 210.82469631181652 0.34375 11.0
0.9 9.011156587068282 1.4999999999999996 10.899999999999995 0.0 1.0 206.77835352199412 0.1875 6.0
1.0 9.99964572972176 1.959335623325897 10.999999999999995 0.0 1.0 202.49918119812938 0.328125 10.0
1.1 11.062542997538035 2.2426188703926746 11.099999999999994 0.0 1.0 198.07969683442673 0.46875 11.0
1.2000000000000002 12.168447187970418 2.3378865017482036 11.199999999999994 0.0 1.0 193.58371609536823 0.390625 11.0
1.3 13.288447184422008 2.337975655751249 11.299999999999994 0.0 1.0 189.0437147250564 0.421875 11.0
1.4000000000000001 14.41844718118723 2.338061157780536 11.399999999999993 0.0 0.9999999999995187 184.55203056462662 0.90625 26.0
1.5 15.556143107746992 2.410504091799811 11.499999999999945 0.0 1.0 180.1350161658515 0.46875 12.0
1.6 16.68880301250263 2.6094551917187108 11.599999999999945 0.0 1.0 175.70705401680408 0.453125 13.0
1.7000000000000002 17.779106944110506 3.0054821311059094 11.699999999999944 0.0 1.0 171.21132528340053 0.25 6.0
1.8 18.849912903281066 3.476942201318442 11.799999999999944 0.0 0.9999999999999999 166.60525287994497 0.4375 11.0
1.9000000000000001 19.996031969320043 3.7576753245189782 11.899999999999944 0.0 1.0 161.86112002188736 0.40625 11.0
2.0 21.183466145137103 3.8357783212710035 11.999999999999943 0.0 1.0 157.043640790209 0.390625 11.0
2.1 22.383466141059035 3.8358772523022813 12.099999999999943 0.0 0.999999999999996 152.18363977826482 0.40625 11.0
2.2 23.593466137596756 3.8359687875537296 12.199999999999942 0.0 0.9999999999999939 147.2836390431258 0.40625 11.0
2.3000000000000003 24.813466134179865 3.836060095824337 12.299999999999942 0.0 1.0 142.34363845859653 0.375 10.0
2.4000000000000004 26.043466130682052 3.8361528568481567 12.399999999999942 0.0 1.0 137.36363784894286 0.375 10.0
2.5 27.283466129641692 3.8362036513412576 12.499999999999941 0.0 1.0 132.34363763021986 0.390625 10.0
2.6 28.533466128379093 3.8362598339108103 12.599999999999941 0.0 0.999999999999998 127.2836374387999 0.359375 10.0
2.7 29.79346612710783 3.836316433970249 12.69999999999994 0.0 0.9999999999999938 122.18363727046068 0.359375 10.0
2.8000000000000003 31.063466125957444 3.836370489194945 12.79999999999994 0.0 0.9999999999999987 117.0436371274077 0.390625 10.0
2.9000000000000004 32.34346612492391 3.8364219269366022 12.89999999999994 0.0 1.0 111.86363701281884 0.375 10.0
3.0 33.633466123983645 3.836471180015396 12.99999999999994 0.0 0.9999999999999689 106.83684558048415 0.90625 27.0
3.1 34.931479146004285 3.9083195945061604 13.099999999999936 0.0 -0.9999999999999987 103.7398067844648 4.078125 118.0
3.2 36.23217777702899 3.752489330274704 12.999999999999936 0.0 -1.0 99.91570318550012 0.0625 1.0
3.3000000000000003 37.47648464052765 3.37605815535676 12.899999999999936 0.0 -0.003644737870598122 -11.51071421744225 0.046875 1.0
3.4000000000000004 38.627597741910854 2.7937879192773822 12.899635526212876 0.0 0.9999999999999999 86.95747719457331 0.859375 28.0
3.5 39.85081309650092 2.3842147714924833 12.999635526212876 0.0 1.0 81.81764840177532 0.234375 6.0
3.6 41.13645653422051 2.1917928673538727 13.099635526212875 0.0 0.9999999999999889 76.5718935787958 0.21875 6.0
3.7 42.446420082984574 2.1918933941816663 13.199635526212875 0.0 0.9999999999999978 71.27203937527192 0.328125 9.0
3.8000000000000003 43.76638363398581 2.1919587915548058 13.299635526212874 0.0 0.9999999999999909 65.93218515875644 0.328125 9.0
3.9000000000000004 45.09634718656957 2.1919487996747415 13.399635526212874 0.0 1.0 60.55233093563925 0.234375 6.0
4.0 46.43631069583726 2.1922896581100204 13.499635526212874 0.0 0.9999999999999969 55.13247693546839 0.296875 8.0
4.1000000000000005 47.78627424555736 2.1923781623142737 13.599635526212873 0.0 0.9999999999999971 49.67262277755214 0.359375 9.0
4.2 49.14623779189637 2.1925088808576465 13.699635526212873 0.0 1.0 44.17276860954877 0.34375 9.0
4.3 50.516201336182675 2.192660000804549 13.799635526212873 0.0 0.9999999999999878 38.63291454492426 0.34375 9.0
