t x y v psi a beta j tsolve niter
0.0 0 0 10 0 1.0 9.044457100155684e-07 333.83750031821313 0.78125 14.0
0.1 0.9999999999995911 9.044457100154452e-07 10.1 0.0 1.0 -3.8445592218654235e-06 327.6875006247955 0.609375 11.0
0.2 2.009999999992127 -2.9785591040590675e-06 10.2 0.0 0.9999999999999996 -9.305072881894863e-06 321.4775006175537 0.640625 11.0
0.30000000000000004 3.029999999947969 -1.2469733443454864e-05 10.299999999999999 0.0 1.0 0.03412707655348437 315.2734254204259 0.96875 18.0
0.4 4.059400259621668 0.035131596390430814 10.399999999999999 0.0 1.0 0.08355542292051524 309.0791048131715 0.8125 15.0
0.5 5.095771986736594 0.12192815874647077 10.499999999999998 0.0 1.0 0.14012623152870263 302.8088163031373 1.109375 21.0
0.6000000000000001 6.135480278998486 0.2685796742581094 10.599999999999998 0.0 0.9999999999999994 0.19214196270779085 296.4604461501093 0.78125 14.0
0.7000000000000001 7.17597358023593 0.470999263428734 10.699999999999998 0.0 1.0 0.24692218158722432 290.03917285584197 0.625 11.0
0.8 8.213519726673377 0.7325293649711819 10.799999999999997 0.0 1.0 0.25026219567820146 283.53778531237845 0.796875 14.0
0.9 9.259875048443797 0.9999999999999993 10.899999999999997 0.0 0.9999999999999993 0.07572927047876858 276.9439277248183 0.796875 14.0
1.0 10.346751009170296 1.082466029338449 10.999999999999996 0.0 0.9999999999999996 2.5188603984063057e-05 270.2569941969251 0.75 13.0
1.1 11.44675100882134 1.0824937368028285 11.099999999999996 0.0 0.9999999999999989 2.3854119034880767e-05 263.50699418713145 0.765625 13.0
1.2000000000000002 12.556751008505532 1.0825202148749546 11.199999999999996 0.0 0.9999999999999998 2.6705966246820724e-06 256.9302389740425 1.25 22.0
1.3 13.676751008501538 1.0825232059431742 11.299999999999995 0.0 1.0 -3.903138167849532e-06 250.4789335611021 0.46875 8.0
1.4000000000000001 14.806751008492931 1.0825187953970445 11.399999999999995 0.0 1.0 0.1084329219777524 244.12355578048408 0.5 9.0
1.5 15.940055684300852 1.205890233712 11.499999999999995 0.0 0.2440713361426522 0.28296584717718665 238.54703808758575 0.765625 13.0
1.6 17.044322005962474 1.5269757220852775 11.52440713361426 0.0 -0.9999999999998646 0.4574987723770677 233.42426142448002 1.90625 30.0
1.7000000000000002 18.078245841658497 2.0360151113201543 11.424407133614272 0.0 0.9999999999999992 0.6320316975760525 224.96838057761917 0.625 11.0
1.8 19.0 2.710952186258189 11.524407133614272 0.0 1.0 0.4574987723766186 218.35205789919752 0.9375 16.0
1.9000000000000001 20.033923835696022 3.219991575493067 11.624407133614271 0.0 1.0 0.282965847177186 211.4569510697846 0.890625 15.0
2.0 21.150136123255447 3.5445505704101414 11.724407133614271 0.0 0.9999999999999998 0.10843292197775321 204.3846198989038 0.875 15.0
2.1 22.315690985150255 3.671432760889451 11.82440713361427 0.0 1.0 -1.8249683535414448e-06 197.20674383923273 0.953125 16.0
2.2 23.498131698509713 3.671430602972569 11.92440713361427 0.0 1.0 -2.4342642315946435e-06 189.9620995668498 0.796875 14.0
2.3000000000000003 24.690572411867606 3.6714277002567925 12.02440713361427 0.0 0.9999999999999998 2.2491959538432514e-06 182.65745504329675 0.78125 14.0
2.4000000000000004 25.89301312522599 3.67143040478158 12.12440713361427 0.0 0.9999999999999994 -1.1959610682135826e-06 175.29281091054358 0.78125 14.0
2.5 27.105453838586552 3.671428954749689 12.22440713361427 0.0 1.0 6.955559859574736e-05 167.86816641520613 0.75 13.0
2.6 28.327894548990905 3.671513982345186 12.324407133614269 0.0 0.9999999999999999 3.26648603015805e-05 160.38352233630874 0.8125 14.0
2.7 29.560335261694828 3.671554239848911 12.424407133614269 0.0 1.0 0.00011426279381524115 152.838878713611 0.6875 12.0
2.8000000000000003 30.80277596694561 3.6716962045956607 12.524407133614268 0.0 1.0 -1.2824019793902558e-05 145.23423382884187 0.84375 15.0
2.9000000000000004 32.055216680204055 3.6716801432711623 12.624407133614268 0.0 1.0 -0.013960395636928738 137.58563811098364 1.21875 21.0
3.0 33.31753437535771 3.6540565439091397 12.724407133614267 0.0 1.0 -0.04500466732758454 129.91902349085444 1.234375 22.0
3.1 34.58868669271656 3.5968101021597296 12.824407133614267 0.0 1.0 -0.07240531083592444 122.17652406255245 0.90625 16.0
3.2 35.867767258096464 3.5040356953743603 12.924407133614267 0.0 0.9999999999999997 -0.09941628611822075 114.3697525253356 0.953125 17.0
3.3000000000000003 37.153826248065776 3.375757591735049 13.024407133614266 0.0 1.0 -0.12841665293420756 106.49894762683662 1.125 17.0
3.4000000000000004 38.44554254288262 3.2089618318186934 13.124407133614266 0.0 1.0 -0.15989668121233114 98.56160271007789 1.0625 18.0
3.5 39.741241419524734 3.0 13.224407133614266 0.0 1.0 -2.8153806643909735e-05 90.5534431930766 1.015625 18.0
3.6 41.063682132362054 2.999962768259863 13.324407133614265 0.0 1.0 -2.3760903654918095e-05 82.46879836719184 1.015625 18.0
3.7 42.39612284534734 2.99993110826445 13.424407133614265 0.0 1.0 3.591442126605319e-06 74.32415320460697 1.03125 18.0
3.8000000000000003 43.738563558700115 2.9999359295625805 13.524407133614265 0.0 0.9999999999999997 -6.875995442673622e-06 66.11950897460731 0.953125 17.0
3.9000000000000004 45.09100427202957 2.999926630186399 13.624407133614264 0.0 1.0 -5.648080298350007e-06 57.8548644859099 0.96875 17.0
4.0 46.453444985369266 2.999918935011848 13.724407133614264 0.0 1.0 -7.679031648415424e-07 49.53022007049907 0.9375 17.0
4.1000000000000005 47.82588569873029 2.9999178811102807 13.824407133614264 0.0 1.0 2.1601045098301313e-06 41.14557544286736 0.96875 16.0
4.2 49.20832641208849 2.9999208673267 13.924407133614263 0.0 0.9999999999999987 1.9231639551908766e-06 32.70093138219893 0.875 15.0
4.3 50.60076712544734 2.99992354521849 14.024407133614263 0.0 0.9999999999999994 1.8415115779673235e-06 24.196286960712598 1.015625 17.0
