x y z
-0.75 -3.25 0.25
-0.5 -3.25 0.25
-0.25 -3.25 0.25
0.0 -3.25 0.25
0.25 -3.25 0.25
0.5 -3.25 0.25
0.75 -3.25 0.25
1.0 -3.25 0.25
1.25 -3.25 0.353553390593
1.5 -3.25 0.559016994375
1.75 -3.25 0.790569415042
2.0 -3.25 1.0307764064
2.25 -3.25 1.2747548784
2.5 -3.25 1.52069063257
2.75 -3.25 1.76776695297
3.0 -3.25 2.01556443707
3.25 -3.25 2.26384628453
3.5 -3.25 2.51246890528
3.75 -3.25 2.7613402543
4.0 -3.25 3.0103986447
4.25 -3.25 3.2596012026
4.5 -3.25 3.5089172119
4.75 -3.25 3.75832409459
-5.0 -3.0 4.0
-4.75 -3.0 3.75
-4.5 -3.0 3.5
-4.25 -3.0 3.25
-4.0 -3.0 3.0
-3.75 -3.0 2.75
-3.5 -3.0 2.5
-3.25 -3.0 2.25
-3.0 -3.0 2.0
-2.75 -3.0 1.75
-2.5 -3.0 1.5
-2.25 -3.0 1.25
-2.0 -3.0 1.0
-1.75 -3.0 0.75
-1.5 -3.0 0.5
-1.25 -3.0 0.25
-1.0 -3.0 0.0
-0.75 -3.0 0.0
-0.5 -3.0 0.0
-0.25 -3.0 0.0
0.0 -3.0 0.0
0.25 -3.0 0.0
0.5 -3.0 0.0
0.75 -3.0 0.0
1.0 -3.0 0.0
1.25 -3.0 0.25
1.5 -3.0 0.5
1.75 -3.0 0.75
2.0 -3.0 1.0
2.25 -3.0 1.25
2.5 -3.0 1.5
2.75 -3.0 1.75
3.0 -3.0 2.0
3.25 -3.0 2.25
3.5 -3.0 2.5
3.75 -3.0 2.75
4.0 -3.0 3.0
4.25 -3.0 3.25
4.5 -3.0 3.5
4.75 -3.0 3.75
-5.0 -2.75 4.0
-4.75 -2.75 3.75
-4.5 -2.75 3.5
-4.25 -2.75 3.25
-4.0 -2.75 3.0
-3.75 -2.75 2.75
-3.5 -2.75 2.5
-3.25 -2.75 2.25
-3.0 -2.75 2.0
-2.75 -2.75 1.75
-2.5 -2.75 1.5
-2.25 -2.75 1.25
-2.0 -2.75 1.0
-1.75 -2.75 0.75
-1.5 -2.75 0.5
-1.25 -2.75 0.25
-1.0 -2.75 0.0
-0.75 -2.75 -0.25
-0.5 -2.75 -0.25
-0.25 -2.75 -0.25
0.0 -2.75 -0.25
0.25 -2.75 -0.25
0.5 -2.75 -0.25
0.75 -2.75 -0.25
1.0 -2.75 0.0
1.25 -2.75 0.25
1.5 -2.75 0.5
1.75 -2.75 0.75
2.0 -2.75 1.0
2.25 -2.75 1.25
2.5 -2.75 1.5
2.75 -2.75 1.75
3.0 -2.75 2.0
3.25 -2.75 2.25
3.5 -2.75 2.5
3.75 -2.75 2.75
4.0 -2.75 3.0
4.25 -2.75 3.25
4.5 -2.75 3.5
4.75 -2.75 3.75
-5.0 -2.5 4.0
-4.75 -2.5 3.75
-4.5 -2.5 3.5
-4.25 -2.5 3.25
-4.0 -2.5 3.0
-3.75 -2.5 2.75
-3.5 -2.5 2.5
-3.25 -2.5 2.25
-3.0 -2.5 2.0
-2.75 -2.5 1.75
-2.5 -2.5 1.5
-2.25 -2.5 1.25
-2.0 -2.5 1.0
-1.75 -2.5 0.75
-1.5 -2.5 0.5
-1.25 -2.5 0.25
-1.0 -2.5 0.0
-0.75 -2.5 -0.25
-0.5 -2.5 -0.5
-0.25 -2.5 -0.5
0.0 -2.5 -0.5
0.25 -2.5 -0.5
0.5 -2.5 -0.5
0.75 -2.5 -0.25
1.0 -2.5 0.0
1.25 -2.5 0.25
1.5 -2.5 0.5
1.75 -2.5 0.75
2.0 -2.5 1.0
2.25 -2.5 1.25
2.5 -2.5 1.5
2.75 -2.5 1.75
3.0 -2.5 2.0
3.25 -2.5 2.25
3.5 -2.5 2.5
3.75 -2.5 2.75
4.0 -2.5 3.0
4.25 -2.5 3.25
4.5 -2.5 3.5
4.75 -2.5 3.75
-5.0 -2.25 4.0
-4.75 -2.25 3.75
-4.5 -2.25 3.5
-4.25 -2.25 3.25
-4.0 -2.25 3.0
-3.75 -2.25 2.75
-3.5 -2.25 2.5
-3.25 -2.25 2.25
-3.0 -2.25 2.0
-2.75 -2.25 1.75
-2.5 -2.25 1.5
-2.25 -2.25 1.25
-2.0 -2.25 1.0
-1.75 -2.25 0.75
-1.5 -2.25 0.5
-1.25 -2.25 0.25
-1.0 -2.25 0.0
-0.75 -2.25 -0.25
-0.5 -2.25 -0.5
-0.25 -2.25 -0.75
0.0 -2.25 -0.75
0.25 -2.25 -0.75
0.5 -2.25 -0.5
0.75 -2.25 -0.25
1.0 -2.25 0.0
1.25 -2.25 0.25
1.5 -2.25 0.5
1.75 -2.25 0.75
2.0 -2.25 1.0
2.25 -2.25 1.25
2.5 -2.25 1.5
2.75 -2.25 1.75
3.0 -2.25 2.0
3.25 -2.25 2.25
3.5 -2.25 2.5
3.75 -2.25 2.75
4.0 -2.25 3.0
4.25 -2.25 3.25
4.5 -2.25 3.5
4.75 -2.25 3.75
-5.0 -2.0 4.0
-4.75 -2.0 3.75
-4.5 -2.0 3.5
-4.25 -2.0 3.25
-4.0 -2.0 3.0
-3.75 -2.0 2.75
-3.5 -2.0 2.5
-3.25 -2.0 2.25
-3.0 -2.0 2.0
-2.75 -2.0 1.75
-2.5 -2.0 1.5
-2.25 -2.0 1.25
-2.0 -2.0 1.0
-1.75 -2.0 0.75
-1.5 -2.0 0.5
-1.25 -2.0 0.25
-1.0 -2.0 0.0
-0.75 -2.0 -0.25
-0.5 -2.0 -0.5
-0.25 -2.0 -0.75
0.0 -2.0 -1.0
0.25 -2.0 -0.75
0.5 -2.0 -0.5
0.75 -2.0 -0.25
1.0 -2.0 0.0
1.25 -2.0 0.25
1.5 -2.0 0.5
1.75 -2.0 0.75
2.0 -2.0 1.0
2.25 -2.0 1.25
2.5 -2.0 1.5
2.75 -2.0 1.75
3.0 -2.0 2.0
3.25 -2.0 2.25
3.5 -2.0 2.5
3.75 -2.0 2.75
4.0 -2.0 3.0
4.25 -2.0 3.25
4.5 -2.0 3.5
4.75 -2.0 3.75
-5.0 -1.75 4.0
-4.75 -1.75 3.75
-4.5 -1.75 3.5
-4.25 -1.75 3.25
-4.0 -1.75 3.0
-3.75 -1.75 2.75
-3.5 -1.75 2.5
-3.25 -1.75 2.25
-3.0 -1.75 2.0
-2.75 -1.75 1.75
-2.5 -1.75 1.5
-2.25 -1.75 1.25
-2.0 -1.75 1.0
-1.75 -1.75 0.75
-1.5 -1.75 0.5
-1.25 -1.75 0.25
-1.0 -1.75 0.0
-0.75 -1.75 -0.25
-0.5 -1.75 -0.5
-0.25 -1.75 -0.75
0.0 -1.75 -1.0
0.25 -1.75 -0.75
0.5 -1.75 -0.5
0.75 -1.75 -0.25
1.0 -1.75 0.0
1.25 -1.75 0.25
1.5 -1.75 0.5
1.75 -1.75 0.75
2.0 -1.75 1.0
2.25 -1.75 1.25
2.5 -1.75 1.5
2.75 -1.75 1.75
3.0 -1.75 2.0
3.25 -1.75 2.25
3.5 -1.75 2.5
3.75 -1.75 2.75
4.0 -1.75 3.0
4.25 -1.75 3.25
4.5 -1.75 3.5
4.75 -1.75 3.75
-5.0 -1.5 4.0
-4.75 -1.5 3.75
-4.5 -1.5 3.5
-4.25 -1.5 3.25
-4.0 -1.5 3.0
-3.75 -1.5 2.75
-3.5 -1.5 2.5
-3.25 -1.5 2.25
-3.0 -1.5 2.0
-2.75 -1.5 1.75
-2.5 -1.5 1.5
-2.25 -1.5 1.25
-2.0 -1.5 1.0
-1.75 -1.5 0.75
-1.5 -1.5 0.5
-1.25 -1.5 0.25
-1.0 -1.5 0.0
-0.75 -1.5 -0.25
-0.5 -1.5 -0.5
-0.25 -1.5 -0.75
0.0 -1.5 -1.0
0.25 -1.5 -0.75
0.5 -1.5 -0.5
0.75 -1.5 -0.25
1.0 -1.5 0.0
1.25 -1.5 0.25
1.5 -1.5 0.5
1.75 -1.5 0.75
2.0 -1.5 1.0
2.25 -1.5 1.25
2.5 -1.5 1.5
2.75 -1.5 1.75
3.0 -1.5 2.0
3.25 -1.5 2.25
3.5 -1.5 2.5
3.75 -1.5 2.75
4.0 -1.5 3.0
4.25 -1.5 3.25
4.5 -1.5 3.5
4.75 -1.5 3.75
-5.0 -1.25 4.0
-4.75 -1.25 3.75
-4.5 -1.25 3.5
-4.25 -1.25 3.25
-4.0 -1.25 3.0
-3.75 -1.25 2.75
-3.5 -1.25 2.5
-3.25 -1.25 2.25
-3.0 -1.25 2.0
-2.75 -1.25 1.75
-2.5 -1.25 1.5
-2.25 -1.25 1.25
-2.0 -1.25 1.0
-1.75 -1.25 0.75
-1.5 -1.25 0.5
-1.25 -1.25 0.25
-1.0 -1.25 0.0
-0.75 -1.25 -0.25
-0.5 -1.25 -0.5
-0.25 -1.25 -0.75
0.0 -1.25 -1.0
0.25 -1.25 -0.75
0.5 -1.25 -0.5
0.75 -1.25 -0.25
1.0 -1.25 0.0
1.25 -1.25 0.25
1.5 -1.25 0.5
1.75 -1.25 0.75
2.0 -1.25 1.0
2.25 -1.25 1.25
2.5 -1.25 1.5
2.75 -1.25 1.75
3.0 -1.25 2.0
3.25 -1.25 2.25
3.5 -1.25 2.5
3.75 -1.25 2.75
4.0 -1.25 3.0
4.25 -1.25 3.25
4.5 -1.25 3.5
4.75 -1.25 3.75
-5.0 -1.0 4.0
-4.75 -1.0 3.75
-4.5 -1.0 3.5
-4.25 -1.0 3.25
-4.0 -1.0 3.0
-3.75 -1.0 2.75
-3.5 -1.0 2.5
-3.25 -1.0 2.25
-3.0 -1.0 2.0
-2.75 -1.0 1.75
-2.5 -1.0 1.5
-2.25 -1.0 1.25
-2.0 -1.0 1.0
-1.75 -1.0 0.75
-1.5 -1.0 0.5
-1.25 -1.0 0.25
-1.0 -1.0 0.0
-0.75 -1.0 -0.25
-0.5 -1.0 -0.5
-0.25 -1.0 -0.75
0.0 -1.0 -1.0
0.25 -1.0 -0.75
0.5 -1.0 -0.5
0.75 -1.0 -0.25
1.0 -1.0 0.0
1.25 -1.0 0.25
1.5 -1.0 0.5
1.75 -1.0 0.75
2.0 -1.0 1.0
2.25 -1.0 1.25
2.5 -1.0 1.5
2.75 -1.0 1.75
3.0 -1.0 2.0
3.25 -1.0 2.25
3.5 -1.0 2.5
3.75 -1.0 2.75
4.0 -1.0 3.0
4.25 -1.0 3.25
4.5 -1.0 3.5
4.75 -1.0 3.75
-5.0 -0.75 4.0
-4.75 -0.75 3.75
-4.5 -0.75 3.5
-4.25 -0.75 3.25
-4.0 -0.75 3.0
-3.75 -0.75 2.75
-3.5 -0.75 2.5
-3.25 -0.75 2.25
-3.0 -0.75 2.0
-2.75 -0.75 1.75
-2.5 -0.75 1.5
-2.25 -0.75 1.25
-2.0 -0.75 1.0
-1.75 -0.75 0.75
-1.5 -0.75 0.5
-1.25 -0.75 0.25
-1.0 -0.75 0.0
-0.75 -0.75 -0.25
-0.5 -0.75 -0.5
-0.25 -0.75 -0.75
0.0 -0.75 -1.0
0.25 -0.75 -0.75
0.5 -0.75 -0.5
0.75 -0.75 -0.25
1.0 -0.75 0.0
1.25 -0.75 0.25
1.5 -0.75 0.5
1.75 -0.75 0.75
2.0 -0.75 1.0
2.25 -0.75 1.25
2.5 -0.75 1.5
2.75 -0.75 1.75
3.0 -0.75 2.0
3.25 -0.75 2.25
3.5 -0.75 2.5
3.75 -0.75 2.75
4.0 -0.75 3.0
4.25 -0.75 3.25
4.5 -0.75 3.5
4.75 -0.75 3.75
-5.0 -0.5 4.0
-4.75 -0.5 3.75
-4.5 -0.5 3.5
-4.25 -0.5 3.25
-4.0 -0.5 3.0
-3.75 -0.5 2.75
-3.5 -0.5 2.5
-3.25 -0.5 2.25
-3.0 -0.5 2.0
-2.75 -0.5 1.75
-2.5 -0.5 1.5
-2.25 -0.5 1.25
-2.0 -0.5 1.0
-1.75 -0.5 0.75
-1.5 -0.5 0.5
-1.25 -0.5 0.25
-1.0 -0.5 0.0
-0.75 -0.5 -0.25
-0.5 -0.5 -0.5
-0.25 -0.5 -0.75
0.0 -0.5 -1.0
0.25 -0.5 -0.75
0.5 -0.5 -0.5
0.75 -0.5 -0.25
1.0 -0.5 0.0
1.25 -0.5 0.25
1.5 -0.5 0.5
1.75 -0.5 0.75
2.0 -0.5 1.0
2.25 -0.5 1.25
2.5 -0.5 1.5
2.75 -0.5 1.75
3.0 -0.5 2.0
3.25 -0.5 2.25
3.5 -0.5 2.5
3.75 -0.5 2.75
4.0 -0.5 3.0
4.25 -0.5 3.25
4.5 -0.5 3.5
4.75 -0.5 3.75
-5.0 -0.25 4.0
-4.75 -0.25 3.75
-4.5 -0.25 3.5
-4.25 -0.25 3.25
-4.0 -0.25 3.0
-3.75 -0.25 2.75
-3.5 -0.25 2.5
-3.25 -0.25 2.25
-3.0 -0.25 2.0
-2.75 -0.25 1.75
-2.5 -0.25 1.5
-2.25 -0.25 1.25
-2.0 -0.25 1.0
-1.75 -0.25 0.75
-1.5 -0.25 0.5
-1.25 -0.25 0.25
-1.0 -0.25 0.0
-0.75 -0.25 -0.25
-0.5 -0.25 -0.5
-0.25 -0.25 -0.75
0.0 -0.25 -1.0
0.25 -0.25 -0.75
0.5 -0.25 -0.5
0.75 -0.25 -0.25
1.0 -0.25 0.0
1.25 -0.25 0.25
1.5 -0.25 0.5
1.75 -0.25 0.75
2.0 -0.25 1.0
2.25 -0.25 1.25
2.5 -0.25 1.5
2.75 -0.25 1.75
3.0 -0.25 2.0
3.25 -0.25 2.25
3.5 -0.25 2.5
3.75 -0.25 2.75
4.0 -0.25 3.0
4.25 -0.25 3.25
4.5 -0.25 3.5
4.75 -0.25 3.75
-5.0 0.0 4.0
-4.75 0.0 3.75
-4.5 0.0 3.5
-4.25 0.0 3.25
-4.0 0.0 3.0
-3.75 0.0 2.75
-3.5 0.0 2.5
-3.25 0.0 2.25
-3.0 0.0 2.0
-2.75 0.0 1.75
-2.5 0.0 1.5
-2.25 0.0 1.25
-2.0 0.0 1.0
-1.75 0.0 0.75
-1.5 0.0 0.5
-1.25 0.0 0.25
-1.0 0.0 0.0
-0.75 0.0 -0.25
-0.5 0.0 -0.5
-0.25 0.0 -0.75
0.0 0.0 -1.0
0.25 0.0 -0.75
0.5 0.0 -0.5
0.75 0.0 -0.25
1.0 0.0 0.0
1.25 0.0 0.25
1.5 0.0 0.5
1.75 0.0 0.75
2.0 0.0 1.0
2.25 0.0 1.25
2.5 0.0 1.5
2.75 0.0 1.75
3.0 0.0 2.0
3.25 0.0 2.25
3.5 0.0 2.5
3.75 0.0 2.75
4.0 0.0 3.0
4.25 0.0 3.25
4.5 0.0 3.5
4.75 0.0 3.75
-5.0 0.25 4.0
-4.75 0.25 3.75
-4.5 0.25 3.5
-4.25 0.25 3.25
-4.0 0.25 3.0
-3.75 0.25 2.75
-3.5 0.25 2.5
-3.25 0.25 2.25
-3.0 0.25 2.0
-2.75 0.25 1.75
-2.5 0.25 1.5
-2.25 0.25 1.25
-2.0 0.25 1.0
-1.75 0.25 0.75
-1.5 0.25 0.5
-1.25 0.25 0.25
-1.0 0.25 0.0
-0.75 0.25 -0.25
-0.5 0.25 -0.5
-0.25 0.25 -0.75
0.0 0.25 -1.0
0.25 0.25 -0.75
0.5 0.25 -0.5
0.75 0.25 -0.25
1.0 0.25 0.0
1.25 0.25 0.25
1.5 0.25 0.5
1.75 0.25 0.75
2.0 0.25 1.0
2.25 0.25 1.25
2.5 0.25 1.5
2.75 0.25 1.75
3.0 0.25 2.0
3.25 0.25 2.25
3.5 0.25 2.5
3.75 0.25 2.75
4.0 0.25 3.0
4.25 0.25 3.25
4.5 0.25 3.5
4.75 0.25 3.75
-5.0 0.5 4.0
-4.75 0.5 3.75
-4.5 0.5 3.5
-4.25 0.5 3.25
-4.0 0.5 3.0
-3.75 0.5 2.75
-3.5 0.5 2.5
-3.25 0.5 2.25
-3.0 0.5 2.0
-2.75 0.5 1.75
-2.5 0.5 1.5
-2.25 0.5 1.25
-2.0 0.5 1.0
-1.75 0.5 0.75
-1.5 0.5 0.5
-1.25 0.5 0.25
-1.0 0.5 0.0
-0.75 0.5 -0.25
-0.5 0.5 -0.5
-0.25 0.5 -0.75
0.0 0.5 -1.0
0.25 0.5 -0.75
0.5 0.5 -0.5
0.75 0.5 -0.25
1.0 0.5 0.0
1.25 0.5 0.25
1.5 0.5 0.5
1.75 0.5 0.75
2.0 0.5 1.0
2.25 0.5 1.25
2.5 0.5 1.5
2.75 0.5 1.75
3.0 0.5 2.0
3.25 0.5 2.25
3.5 0.5 2.5
3.75 0.5 2.75
4.0 0.5 3.0
4.25 0.5 3.25
4.5 0.5 3.5
4.75 0.5 3.75
-5.0 0.75 4.0
-4.75 0.75 3.75
-4.5 0.75 3.5
-4.25 0.75 3.25
-4.0 0.75 3.0
-3.75 0.75 2.75
-3.5 0.75 2.5
-3.25 0.75 2.25
-3.0 0.75 2.0
-2.75 0.75 1.75
-2.5 0.75 1.5
-2.25 0.75 1.25
-2.0 0.75 1.0
-1.75 0.75 0.75
-1.5 0.75 0.5
-1.25 0.75 0.25
-1.0 0.75 0.0
-0.75 0.75 -0.25
-0.5 0.75 -0.5
-0.25 0.75 -0.75
0.0 0.75 -1.0
0.25 0.75 -0.75
0.5 0.75 -0.5
0.75 0.75 -0.25
1.0 0.75 0.0
1.25 0.75 0.25
1.5 0.75 0.5
1.75 0.75 0.75
2.0 0.75 1.0
2.25 0.75 1.25
2.5 0.75 1.5
2.75 0.75 1.75
3.0 0.75 2.0
3.25 0.75 2.25
3.5 0.75 2.5
3.75 0.75 2.75
4.0 0.75 3.0
4.25 0.75 3.25
4.5 0.75 3.5
4.75 0.75 3.75
-5.0 1.0 4.0
-4.75 1.0 3.75
-4.5 1.0 3.5
-4.25 1.0 3.25
-4.0 1.0 3.0
-3.75 1.0 2.75
-3.5 1.0 2.5
-3.25 1.0 2.25
-3.0 1.0 2.0
-2.75 1.0 1.75
-2.5 1.0 1.5
-2.25 1.0 1.25
-2.0 1.0 1.0
-1.75 1.0 0.75
-1.5 1.0 0.5
-1.25 1.0 0.25
-1.0 1.0 0.0
-0.75 1.0 -0.25
-0.5 1.0 -0.5
-0.25 1.0 -0.75
0.0 1.0 -1.0
0.25 1.0 -0.75
0.5 1.0 -0.5
0.75 1.0 -0.25
1.0 1.0 0.0
1.25 1.0 0.25
1.5 1.0 0.5
1.75 1.0 0.75
