t x y v psi a beta j tsolve niter
0.0 0 0 10 0 0.99999999999999 -1.9848692610887653e-06 377.6975002867113 1.546875 20.0
0.1 0.9999999999980302 -1.984869261087462e-06 10.1 0.0 0.9999999999999998 5.824676671932358e-07 370.4875005140358 0.984375 10.0
0.2 2.009999999997859 -1.3965769172223272e-06 10.2 0.0 0.9999999999999999 0.027178253341879087 363.27104809588496 1.796875 19.0
0.30000000000000004 3.0296233078840134 0.027717009136538212 10.299999999999999 0.0 1.0 0.06497923287860992 356.0470868367704 1.59375 16.0
0.4 4.057449588023756 0.09459853015766036 10.399999999999999 0.0 0.9999999999999994 0.10494816918228389 348.73099124093187 2.078125 22.0
0.5 5.091727501423852 0.2035443784160628 10.499999999999998 0.0 0.9999999999999997 0.14021662593372874 341.3286769970171 1.578125 17.0
0.6000000000000001 6.131422532961466 0.35028987714089754 10.599999999999998 0.0 0.9999999999999996 0.1763033883098904 333.8477722561928 1.5 15.0
0.7000000000000001 7.174991231303729 0.536204835765084 10.699999999999998 0.0 0.9999999999999996 0.21469302106101207 326.2857706835502 1.484375 13.0
0.8 8.220426001537318 0.7641656683364805 10.799999999999997 0.0 0.9999999999999999 0.2201388475130345 318.63707160475013 1.6875 14.0
0.9 9.274362511963265 0.9999999999999997 10.899999999999997 0.0 1.0 0.04560592231360157 310.8937835982086 1.53125 14.0
1.0 10.363229162839655 1.0496932249832114 10.999999999999996 0.0 1.0 8.021687961191472e-05 303.0548959795966 1.390625 14.0
1.1 11.463229159300543 1.04978146355069 11.099999999999996 0.0 0.9999999999999987 -5.7451891770666374e-06 295.39350809662653 2.234375 23.0
1.2000000000000002 12.573229159282223 1.0497750863907034 11.199999999999996 0.0 1.0 1.451640339488299e-05 287.8487699141816 0.9375 8.0
1.3 13.693229159164215 1.0497913447625051 11.299999999999995 0.0 0.9999999999999996 1.0923191250107687e-05 280.3883741905811 1.265625 12.0
1.4000000000000001 14.823229159096801 1.0498036879686174 11.399999999999995 0.0 1.0 0.17454384839068365 272.9143443934056 1.84375 18.0
1.5 15.94590783512057 1.247774873754619 11.499999999999995 0.0 0.9999999999999831 0.3490767735901168 265.31705089666207 1.109375 10.0
1.6 17.026550052615743 1.6411098426642179 11.599999999999993 0.0 1.0 0.5236096987895504 257.6234840727782 1.109375 10.0
1.7000000000000002 18.031133185494834 2.2211208159525064 11.699999999999992 0.0 1.0 0.5951020502857306 249.7890237815916 1.390625 13.0
1.8 19.0 2.8770149352664465 11.799999999999992 0.0 1.0 0.42056912508629823 241.7283468015189 1.53125 14.0
1.9000000000000001 20.077170936379705 3.3587853928693034 11.899999999999991 0.0 1.0 0.24603619988686573 233.39830959764816 1.609375 15.0
2.0 21.23133464253594 3.6486235190564944 11.999999999999991 0.0 0.9999999999999999 0.07150327468743303 224.89660663766077 1.609375 15.0
2.1 22.428268318333018 3.7343543521499427 12.09999999999999 0.0 0.9999999999999999 -1.7317032598735272e-05 216.28962204866752 1.671875 15.0
2.2 23.63826831815159 3.734333398540499 12.19999999999999 0.0 1.0 -3.959419231281327e-05 207.60962204502144 1.515625 14.0
2.3000000000000003 24.85826831719529 3.73428509362589 12.29999999999999 0.0 0.9999999999999998 -0.00018094198426748688 198.85962319868503 1.375 13.0
2.4000000000000004 26.08826829706019 3.7340625349864554 12.39999999999999 0.0 0.9999999999999993 2.7343781561247794e-05 190.03962224200455 1.578125 15.0
2.5 27.328268296596626 3.7340964412755873 12.49999999999999 0.0 0.9999999999999998 -5.684601361148916e-05 181.1496225891803 1.390625 12.0
2.6 28.578268294576958 3.734025383758611 12.599999999999989 0.0 0.9999999999999999 -0.00018486722464577626 172.18962333926865 1.203125 10.0
2.7 29.838268273046147 3.733792451056884 12.699999999999989 0.0 1.0 6.174794787278626e-05 163.15962223916986 1.765625 16.0
2.8000000000000003 31.10826827062501 3.7338708709506325 12.799999999999988 0.0 0.9999999999999992 -0.012455900139966246 154.078902146488 2.140625 21.0
2.9000000000000004 32.3881689762619 3.7179277310404983 12.899999999999988 0.0 0.9999999999999993 -0.037613862790093974 144.9710216740104 2.46875 23.0
3.0 33.67725653612168 3.6694172887135683 12.999999999999988 0.0 0.9999999999999996 -0.05860507596972361 135.77436140103345 1.671875 16.0
3.1 34.97502471430349 3.593274293640679 13.099999999999987 0.0 1.0 -0.07894440618319748 126.50291458100003 1.828125 17.0
3.2 36.280944730289896 3.489964507821246 13.199999999999987 0.0 1.0 -0.10003016722445365 117.15816511533305 1.75 18.0
3.3000000000000003 37.59434625241909 3.358144776108941 13.299999999999986 0.0 0.9999999999999994 -0.12245670066888203 107.73902925784498 1.765625 17.0
3.4000000000000004 38.91438660474701 3.1956841094046933 13.399999999999986 0.0 0.9999999999999987 -0.14655700285610726 98.24320269239257 1.796875 18.0
3.5 40.240021444861924 3.0 13.499999999999986 0.0 1.0 -3.386489416921213e-06 88.6673520330843 1.859375 19.0
3.6 41.59002144485418 2.9999954282392873 13.599999999999985 0.0 1.0 -2.0238306040103475e-05 79.007351672527 1.75 18.0
3.7 42.95002144457566 2.9999679041430745 13.699999999999985 0.0 1.0 -6.457118655210748e-06 69.27735116810733 1.859375 19.0
3.8000000000000003 44.3200214445471 2.999959057890517 13.799999999999985 0.0 0.9999999999999992 -5.1439270876036614e-06 59.477350855249 1.96875 19.0
3.9000000000000004 45.70002144452884 2.999951959271136 13.899999999999984 0.0 0.9999999999999999 -2.4065679163359647e-08 49.60735072101681 1.828125 17.0
4.0 47.090021444528844 2.999951925819842 13.999999999999984 0.0 0.9999999999999984 -2.9916063084858724e-06 39.667350580078065 1.90625 18.0
4.1000000000000005 48.490021444522576 2.99994773757101 14.099999999999984 0.0 1.0 -2.633560126516814e-06 29.657350566503318 1.8125 16.0
4.2 49.900021444517684 2.999944024251232 14.199999999999983 0.0 0.9999999999999994 -3.361835833312236e-05 19.57735002552739 1.59375 16.0
4.3 51.32002144371524 2.9998962861824077 14.299999999999983 0.0 0.9999999999999998 4.475887518525981e-07 9.427350446812653 1.703125 16.0
