t x y v psi beta j tsolve niter
0.0 0 0 10 0 0.0 485.0 0.046875 1.0
0.1 1.0 0.0 10.1 0.0 -1.50430904023278e-16 489.9 0.140625 2.0
0.2 2.01 -1.519352130635108e-16 10.2 0.0 -3.7023321566036613e-16 494.85 0.125 2.0
0.30000000000000004 3.03 -5.295730930370842e-16 10.299999999999999 0.0 2.5202969777036154e-15 499.8499999999998 0.125 2.0
0.4 4.06 2.0663327939976395e-15 10.399999999999999 0.0 0.14180579625367487 504.90037687545214 0.625 20.0
0.5 5.089560891235395 0.14698425507032095 10.499999999999998 0.0 0.17504176455728768 510.0526548482427 0.078125 2.0
0.6000000000000001 6.123516121057067 0.3298409823854894 10.599999999999998 0.0 0.18497003211562432 515.2829243448207 0.125 2.0
0.7000000000000001 7.165434389495009 0.524793083926561 10.699999999999998 0.0 0.20059634896695278 520.5733822005176 0.109375 2.0
0.8 8.213978671734386 0.7379946040503815 10.799999999999997 0.0 0.20960431675969476 525.9306969442796 0.109375 2.0
0.9 9.270341059762037 0.9627133285940134 10.899999999999997 0.0 0.18940609201258835 531.3488781105282 0.078125 2.0
1.0 10.340847746894845 1.167933777877074 10.999999999999996 0.0 0.20206472107601992 536.7964265513673 0.109375 2.0
1.1 11.418467468459207 1.388695494883316 11.099999999999996 0.0 0.15456342666326237 542.308329606205 0.234375 7.0
1.2000000000000002 12.515234975144386 1.559578601946518 11.199999999999996 0.0 -0.0072249542309470284 547.823828898675 0.6875 19.0
1.3 13.635205743291907 1.5514867236075787 11.299999999999995 0.0 0.16063038178657457 553.3247358556296 0.5 14.0
1.4000000000000001 14.750658864497085 1.7322194942763927 11.399999999999995 0.0 0.20774095820875305 558.9476407962266 0.21875 6.0
1.5 15.866148110241621 1.9673444453732194 11.499999999999995 0.0 0.25022760778541053 564.6703736880831 0.09375 2.0
1.6 16.980332608620053 2.252112602956196 11.599999999999994 0.0 0.3012062090142922 570.4996034186306 0.078125 2.0
1.7000000000000002 18.088108637331672 2.596252502142435 11.699999999999994 0.0 0.3229979982860522 576.4607639102101 0.09375 2.0
1.8 19.197605695176183 2.9676233122963485 11.799999999999994 0.0 0.14846507308661924 582.5121933776529 0.921875 27.0
1.9000000000000001 20.364624857004458 3.1421692258137544 11.899999999999993 0.0 0.06774070596981768 588.3769401907217 0.109375 2.0
2.0 21.55189556299578 3.222719028388669 11.999999999999993 0.0 0.06647693830353849 594.2405835277773 0.09375 2.0
2.1 22.74924502931529 3.3024326125784853 12.099999999999993 0.0 0.054532133267141805 600.1538328793436 0.09375 2.0
2.2 23.957446354213285 3.3683837953936786 12.199999999999992 0.0 0.06389955499361695 606.112836318377 0.109375 2.0
2.3000000000000003 25.174956478190055 3.4462882112766837 12.299999999999992 0.0 0.06413309029397428 612.1252920636086 0.09375 2.0
2.4000000000000004 26.40242781731661 3.525117847980507 12.399999999999991 0.0 0.06703617171648299 618.1879456273642 0.125 2.0
2.5 27.63964267459434 3.6081804564830176 12.499999999999991 0.0 0.07090538593770657 624.3018845655357 0.078125 2.0
2.6 28.88650175726114 3.6967379404767837 12.59999999999999 0.0 0.07575388591581617 630.4676057261881 0.09375 2.0
2.7 30.14288813559089 3.792096570644415 12.69999999999999 0.0 0.08126303192971326 636.6856941547153 0.09375 2.0
2.8000000000000003 31.408697105676847 3.8951870709338627 12.79999999999999 0.0 0.0876102327087328 642.9566741937774 0.078125 2.0
2.9000000000000004 32.68378789311884 4.007184766359061 12.89999999999999 0.0 -0.08692269249070018 649.2814405676902 1.03125 30.0
3.0 33.9689176281073 3.8951956407776587 12.99999999999999 0.0 -0.14735975708673837 655.6559083617672 0.125 2.0
3.1 35.254828467497504 3.7043205163146142 13.099999999999989 0.0 -0.1717735736717703 662.1264586110294 0.125 2.0
3.2 36.545549406570196 3.480402099387124 13.199999999999989 0.0 -0.1870882012416662 668.6729557815836 0.09375 2.0
3.3000000000000003 37.84251539395391 3.2348838158117625 13.299999999999988 0.0 -0.19314934639040326 675.288240035165 0.09375 2.0
3.4000000000000004 39.1477834907782 2.9795894848666995 13.399999999999988 0.0 -0.018616421190970317 681.9610863850277 0.78125 22.0
3.5 40.48755129482192 2.9546449213733523 13.499999999999988 0.0 -0.004217944161962227 688.5622444589309 0.109375 2.0
3.6 41.83753928587898 2.948950713639064 13.599999999999987 0.0 -0.005773531578450904 695.2123046583122 0.125 2.0
3.7 43.197516619048464 2.941098754314973 13.699999999999987 0.0 -0.008766059770733256 701.9124179350172 0.09375 2.0
3.8000000000000003 44.567463981379866 2.929089406237779 13.799999999999986 0.0 -0.0021795869891936505 708.6626803025478 0.09375 2.0
3.9000000000000004 45.94746070346755 2.9260815785741903 13.899999999999986 0.0 -0.0003999562773996261 715.4626966745019 0.125 2.0
4.0 47.337460592291855 2.9255256393634266 13.999999999999986 0.0 0.0009484069836617202 722.3126972856198 0.09375 2.0
4.1000000000000005 48.73745996265884 2.9268534089415037 14.099999999999985 0.0 0.002263754898969474 729.2127005339714 0.109375 2.0
4.2 50.14745634982708 2.9300453006228615 14.199999999999985 0.0 0.003448781768841633 736.1627187357974 0.078125 2.0
